[2018-05-19 18:45:06.120469]  A: 0.02 
[2018-05-19 18:45:06.656838]  A: 2.07 
[2018-05-19 18:45:14.802727]  A: 0.01 
[2018-05-19 18:45:15.349721]  A: 0.00 
[2018-05-19 18:45:15.885977]  A: 0.00 
[2018-05-19 18:45:16.422613]  A: 0.00 
[2018-05-19 18:45:16.958824]  A: 0.00 
[2018-05-19 18:45:17.495171]  A: 0.00 
[2018-05-19 18:45:18.031404]  A: 0.00 
[2018-05-19 18:45:18.568022]  A: 0.00 
[2018-05-19 18:45:19.104419]  A: 0.00 
[2018-05-19 18:45:19.641254]  A: 0.00 
[2018-05-19 18:45:20.177656]  A: 0.00 
[2018-05-19 18:45:20.714065]  A: 0.00 
[2018-05-19 18:45:21.250849]  A: 0.00 
[2018-05-19 18:45:21.786668]  A: 0.00 
[2018-05-19 18:45:22.335935]  A: 0.00 
